T  Ainit D Etat
1 29 0.05  1
1 29 0.06  1
1 29 0.07  1
1 29 0.08  1
1 29 0.09  1
1 29 0.1  1
1 30 0  1
1 30 0.01  1
1 30 0.02  1
1 30 0.03  1
1 30 0.04  1
1 30 0.05  1
1 30 0.06  1
1 30 0.07  1
1 30 0.08  1
1 30 0.09  1
1 30 0.1  1
1 31 0  1
1 31 0.01  1
1 31 0.02  1
1 31 0.03  1
1 31 0.04  1
1 31 0.05  1
1 31 0.06  1
1 31 0.07  1
1 31 0.08  1
1 31 0.09  1
1 31 0.1  1
1 32 0  1
1 32 0.01  1
1 32 0.02  1
1 32 0.03  1
1 32 0.04  1
1 32 0.05  1
1 32 0.06  1
1 32 0.07  1
1 32 0.08  1
1 32 0.09  1
1 32 0.1  1
1 33 0  1
1 33 0.01  1
1 33 0.02  1
1 33 0.03  1
1 33 0.04  1
1 33 0.05  1
1 33 0.06  1
1 33 0.07  1
1 33 0.08  1
1 33 0.09  1
1 33 0.1  1
1 34 0  1
1 34 0.01  1
1 34 0.02  1
1 34 0.03  1
1 34 0.04  1
1 34 0.05  1
1 34 0.06  1
1 34 0.07  1
1 34 0.08  1
1 34 0.09  1
1 34 0.1  1
1 35 0  1
1 35 0.01  1
1 35 0.02  1
1 35 0.03  1
1 35 0.04  1
1 35 0.05  1
1 35 0.06  1
1 35 0.07  1
1 35 0.08  1
1 35 0.09  1
1 35 0.1  1
1 36 0  1
1 36 0.01  1
1 36 0.02  1
1 36 0.03  1
1 36 0.04  1
1 36 0.05  1
1 36 0.06  1
1 36 0.07  1
1 36 0.08  1
1 36 0.09  1
1 36 0.1  1
1 37 0  1
1 37 0.01  1
1 37 0.02  1
1 37 0.03  1
1 37 0.04  1
1 37 0.05  1
1 37 0.06  1
1 37 0.07  1
1 37 0.08  1
1 37 0.09  1
1 37 0.1  1
1 38 0  1
1 38 0.01  1
1 38 0.02  1
1 38 0.03  1
1 38 0.04  1
1 38 0.05  1
1 38 0.06  1
1 38 0.07  1
1 38 0.08  1
1 38 0.09  1
1 38 0.1  1
1 39 0  1
1 39 0.01  1
1 39 0.02  1
1 39 0.03  1
1 39 0.04  1
1 39 0.05  1
1 39 0.06  1
1 39 0.07  1
1 39 0.08  1
1 39 0.09  1
1 39 0.1  1
1 40 0  1
1 40 0.01  1
1 40 0.02  1
1 40 0.03  1
1 40 0.04  1
1 40 0.05  1
1 40 0.06  1
1 40 0.07  1
1 40 0.08  1
1 40 0.09  1
1 40 0.1  1
1 41 0  1
1 41 0.01  1
1 41 0.02  1
1 41 0.03  1
1 41 0.04  1
1 41 0.05  1
1 41 0.06  1
1 41 0.07  1
1 41 0.08  1
1 41 0.09  1
1 41 0.1  1
1 42 0  1
1 42 0.01  1
1 42 0.02  1
1 42 0.03  1
1 42 0.04  1
1 42 0.05  1
1 42 0.06  1
1 42 0.07  1
1 42 0.08  1
1 42 0.09  1
1 42 0.1  1
1 43 0  1
1 43 0.01  1
1 43 0.02  1
1 43 0.03  1
1 43 0.04  1
1 43 0.05  1
1 43 0.06  1
1 43 0.07  1
1 43 0.08  1
1 43 0.09  1
1 43 0.1  1
1 44 0  1
1 44 0.01  1
1 44 0.02  1
1 44 0.03  1
1 44 0.04  1
1 44 0.05  1
1 44 0.06  1
1 44 0.07  1
1 44 0.08  1
1 44 0.09  1
1 44 0.1  1
1 45 0  1
1 45 0.01  1
1 45 0.02  1
1 45 0.03  1
1 45 0.04  1
1 45 0.05  1
1 45 0.06  1
1 45 0.07  1
1 45 0.08  1
1 45 0.09  1
1 45 0.1  1
1 46 0  1
1 46 0.01  1
1 46 0.02  1
1 46 0.03  1
1 46 0.04  1
1 46 0.05  1
1 46 0.06  1
1 46 0.07  1
1 46 0.08  1
1 46 0.09  1
1 46 0.1  1
1 47 0  1
1 47 0.01  1
1 47 0.02  1
1 47 0.03  1
1 47 0.04  1
1 47 0.05  1
1 47 0.06  1
1 47 0.07  1
1 47 0.08  1
1 47 0.09  1
1 47 0.1  1
1 48 0  1
1 48 0.01  1
1 48 0.02  1
1 48 0.03  1
1 48 0.04  1
1 48 0.05  1
1 48 0.06  1
1 48 0.07  1
1 48 0.08  1
1 48 0.09  1
1 48 0.1  1
1 49 0  1
1 49 0.01  1
1 49 0.02  1
1 49 0.03  1
1 49 0.04  1
1 49 0.05  1
1 49 0.06  1
1 49 0.07  1
1 49 0.08  1
1 49 0.09  1
1 49 0.1  1
1 50 0  1
1 50 0.01  1
1 50 0.02  1
1 50 0.03  1
1 50 0.04  1
1 50 0.05  1
1 50 0.06  1
1 50 0.07  1
1 50 0.08  1
1 50 0.09  1
1 50 0.1  1
6 0 0  0
6 0 0.01  0
6 0 0.02  0
6 0 0.03  0
6 0 0.04  0
6 0 0.05  0
6 0 0.06  0
6 0 0.07  0
6 0 0.08  0
6 0 0.09  0
6 0 0.1  0
6 1 0  1
6 1 0.01  1
6 1 0.02  1
6 1 0.03  1
6 1 0.04  1
6 1 0.05  1
6 1 0.06  1
6 1 0.07  1
6 1 0.08  1
6 1 0.09  1
6 1 0.1  1
6 2 0  1
6 2 0.01  1
6 2 0.02  1
6 2 0.03  1
6 2 0.04  1
6 2 0.05  1
6 2 0.06  1
6 2 0.07  1
6 2 0.08  1
6 2 0.09  1
6 2 0.1  1
6 3 0  1
6 3 0.01  1
6 3 0.02  1
6 3 0.03  1
6 3 0.04  1
6 3 0.05  1
6 3 0.06  1
6 3 0.07  1
6 3 0.08  1
6 3 0.09  1
6 3 0.1  1
6 4 0  1
6 4 0.01  1
6 4 0.02  1
6 4 0.03  1
6 4 0.04  1
6 4 0.05  1
6 4 0.06  1
6 4 0.07  1
6 4 0.08  1
6 4 0.09  1
6 4 0.1  1
6 5 0  1
6 5 0.01  1
6 5 0.02  1
6 5 0.03  1
6 5 0.04  1
6 5 0.05  1
6 5 0.06  1
6 5 0.07  1
6 5 0.08  1
6 5 0.09  1
6 5 0.1  1
6 6 0  1
6 6 0.01  1
6 6 0.02  1
6 6 0.03  1
6 6 0.04  1
6 6 0.05  1
6 6 0.06  1
6 6 0.07  1
6 6 0.08  1
6 6 0.09  1
6 6 0.1  1
6 7 0  1
6 7 0.01  1
6 7 0.02  1
6 7 0.03  1
6 7 0.04  1
6 7 0.05  1
6 7 0.06  1
6 7 0.07  1
6 7 0.08  1
6 7 0.09  1
6 7 0.1  1
6 8 0  1
6 8 0.01  1
6 8 0.02  1
6 8 0.03  1
6 8 0.04  1
6 8 0.05  1
6 8 0.06  1
6 8 0.07  1
6 8 0.08  1
6 8 0.09  1
6 8 0.1  1
6 9 0  1
6 9 0.01  1
6 9 0.02  1
6 9 0.03  1
6 9 0.04  1
6 9 0.05  1
6 9 0.06  1
6 9 0.07  1
6 9 0.08  1
6 9 0.09  1
6 9 0.1  1
6 10 0  1
6 10 0.01  1
6 10 0.02  1
6 10 0.03  1
6 10 0.04  1
6 10 0.05  1
6 10 0.06  1
6 10 0.07  1
6 10 0.08  1
6 10 0.09  1
6 10 0.1  1
6 11 0  1
6 11 0.01  1
6 11 0.02  1
6 11 0.03  1
6 11 0.04  1
6 11 0.05  1
6 11 0.06  1
6 11 0.07  1
6 11 0.08  1
6 11 0.09  1
6 11 0.1  1
6 12 0  1
6 12 0.01  1
6 12 0.02  1
6 12 0.03  1
6 12 0.04  1
6 12 0.05  1
6 12 0.06  1
6 12 0.07  1
6 12 0.08  1
6 12 0.09  1
6 12 0.1  1
6 13 0  1
6 13 0.01  1
6 13 0.02  1
6 13 0.03  1
6 13 0.04  1
6 13 0.05  1
6 13 0.06  1
6 13 0.07  1
6 13 0.08  1
6 13 0.09  1
6 13 0.1  1
6 14 0  1
6 14 0.01  1
6 14 0.02  1
6 14 0.03  1
6 14 0.04  1
6 14 0.05  1
6 14 0.06  1
6 14 0.07  1
6 14 0.08  1
6 14 0.09  1
6 14 0.1  1
6 15 0  1
6 15 0.01  1
6 15 0.02  1
6 15 0.03  1
6 15 0.04  1
6 15 0.05  1
6 15 0.06  1
6 15 0.07  1
6 15 0.08  1
6 15 0.09  1
6 15 0.1  1
6 16 0  1
6 16 0.01  1
6 16 0.02  1
6 16 0.03  1
6 16 0.04  1
6 16 0.05  1
6 16 0.06  1
6 16 0.07  1
6 16 0.08  1
6 16 0.09  1
6 16 0.1  1
6 17 0  1
6 17 0.01  1
6 17 0.02  1
6 17 0.03  1
6 17 0.04  1
6 17 0.05  1
6 17 0.06  1
6 17 0.07  1
6 17 0.08  1
6 17 0.09  1
6 17 0.1  1
6 18 0  1
6 18 0.01  1
6 18 0.02  1
6 18 0.03  1
6 18 0.04  1
6 18 0.05  1
6 18 0.06  1
6 18 0.07  1
6 18 0.08  1
6 18 0.09  1
6 18 0.1  1
6 19 0  1
6 19 0.01  1
6 19 0.02  1
6 19 0.03  1
6 19 0.04  1
6 19 0.05  1
6 19 0.06  1
6 19 0.07  1
6 19 0.08  1
6 19 0.09  1
6 19 0.1  1
6 20 0  1
6 20 0.01  1
6 20 0.02  1
6 20 0.03  1
6 20 0.04  1
6 20 0.05  1
6 20 0.06  1
6 20 0.07  1
6 20 0.08  1
6 20 0.09  1
6 20 0.1  1
6 21 0  1
6 21 0.01  1
6 21 0.02  1
6 21 0.03  1
6 21 0.04  1
6 21 0.05  1
6 21 0.06  1
6 21 0.07  1
6 21 0.08  1
6 21 0.09  1
6 21 0.1  1
6 22 0  1
6 22 0.01  1
6 22 0.02  1
6 22 0.03  1
6 22 0.04  1
6 22 0.05  1
6 22 0.06  1
6 22 0.07  1
6 22 0.08  1
6 22 0.09  1
6 22 0.1  1
6 23 0  1
6 23 0.01  1
6 23 0.02  1
6 23 0.03  1
6 23 0.04  1
6 23 0.05  1
6 23 0.06  1
6 23 0.07  1
6 23 0.08  1
6 23 0.09  1
6 23 0.1  1
6 24 0  1
6 24 0.01  1
6 24 0.02  1
6 24 0.03  1
6 24 0.04  1
6 24 0.05  1
6 24 0.06  1
6 24 0.07  1
6 24 0.08  1
6 24 0.09  1
6 24 0.1  1
6 25 0  1
6 25 0.01  1
6 25 0.02  1
6 25 0.03  1
6 25 0.04  1
6 25 0.05  1
6 25 0.06  1
6 25 0.07  1
