T  Ainit D Etat
11 27 0  1
11 27 0.01  1
11 27 0.02  1
11 27 0.03  1
11 27 0.04  1
11 27 0.05  1
11 27 0.06  1
11 27 0.07  1
11 27 0.08  1
11 27 0.09  1
11 27 0.1  1
11 28 0  1
11 28 0.01  1
11 28 0.02  1
11 28 0.03  1
11 28 0.04  1
11 28 0.05  1
11 28 0.06  1
11 28 0.07  1
11 28 0.08  1
11 28 0.09  1
11 28 0.1  1
11 29 0  1
11 29 0.01  1
11 29 0.02  1
11 29 0.03  1
11 29 0.04  1
11 29 0.05  1
11 29 0.06  1
11 29 0.07  1
11 29 0.08  1
11 29 0.09  1
11 29 0.1  1
11 30 0  1
11 30 0.01  1
11 30 0.02  1
11 30 0.03  1
11 30 0.04  1
11 30 0.05  1
11 30 0.06  1
11 30 0.07  1
11 30 0.08  1
11 30 0.09  1
11 30 0.1  1
11 31 0  1
11 31 0.01  1
11 31 0.02  1
11 31 0.03  1
11 31 0.04  1
11 31 0.05  1
11 31 0.06  1
11 31 0.07  1
11 31 0.08  1
11 31 0.09  1
11 31 0.1  1
11 32 0  1
11 32 0.01  1
11 32 0.02  1
11 32 0.03  1
11 32 0.04  1
11 32 0.05  1
11 32 0.06  1
11 32 0.07  1
11 32 0.08  1
11 32 0.09  1
11 32 0.1  1
11 33 0  1
11 33 0.01  1
11 33 0.02  1
11 33 0.03  1
11 33 0.04  1
11 33 0.05  1
11 33 0.06  1
11 33 0.07  1
11 33 0.08  1
11 33 0.09  1
11 33 0.1  1
11 34 0  1
11 34 0.01  1
11 34 0.02  1
11 34 0.03  1
11 34 0.04  1
11 34 0.05  1
11 34 0.06  1
11 34 0.07  1
11 34 0.08  1
11 34 0.09  1
11 34 0.1  1
11 35 0  1
11 35 0.01  1
11 35 0.02  1
11 35 0.03  1
11 35 0.04  1
11 35 0.05  1
11 35 0.06  1
11 35 0.07  1
11 35 0.08  1
11 35 0.09  1
11 35 0.1  1
11 36 0  1
11 36 0.01  1
11 36 0.02  1
11 36 0.03  1
11 36 0.04  1
11 36 0.05  1
11 36 0.06  1
11 36 0.07  1
11 36 0.08  1
11 36 0.09  1
11 36 0.1  1
11 37 0  1
11 37 0.01  1
11 37 0.02  1
11 37 0.03  1
11 37 0.04  1
11 37 0.05  1
11 37 0.06  1
11 37 0.07  1
11 37 0.08  1
11 37 0.09  1
11 37 0.1  1
11 38 0  1
11 38 0.01  1
11 38 0.02  1
11 38 0.03  1
11 38 0.04  1
11 38 0.05  1
11 38 0.06  1
11 38 0.07  1
11 38 0.08  1
11 38 0.09  1
11 38 0.1  1
11 39 0  1
11 39 0.01  1
11 39 0.02  1
11 39 0.03  1
11 39 0.04  1
11 39 0.05  1
11 39 0.06  1
11 39 0.07  1
11 39 0.08  1
11 39 0.09  1
11 39 0.1  1
11 40 0  1
11 40 0.01  1
11 40 0.02  1
11 40 0.03  1
11 40 0.04  1
11 40 0.05  1
11 40 0.06  1
11 40 0.07  1
11 40 0.08  1
11 40 0.09  1
11 40 0.1  1
11 41 0  1
11 41 0.01  1
11 41 0.02  1
11 41 0.03  1
11 41 0.04  1
11 41 0.05  1
11 41 0.06  1
11 41 0.07  1
11 41 0.08  1
11 41 0.09  1
11 41 0.1  1
11 42 0  1
11 42 0.01  1
11 42 0.02  1
11 42 0.03  1
11 42 0.04  1
11 42 0.05  1
11 42 0.06  1
11 42 0.07  1
11 42 0.08  1
11 42 0.09  1
11 42 0.1  1
11 43 0  1
11 43 0.01  1
11 43 0.02  1
11 43 0.03  1
11 43 0.04  1
11 43 0.05  1
11 43 0.06  1
11 43 0.07  1
11 43 0.08  1
11 43 0.09  1
11 43 0.1  1
11 44 0  1
11 44 0.01  1
11 44 0.02  1
11 44 0.03  1
11 44 0.04  1
11 44 0.05  1
11 44 0.06  1
11 44 0.07  1
11 44 0.08  1
11 44 0.09  1
11 44 0.1  1
11 45 0  1
11 45 0.01  1
11 45 0.02  1
11 45 0.03  1
11 45 0.04  1
11 45 0.05  1
11 45 0.06  1
11 45 0.07  1
11 45 0.08  1
11 45 0.09  1
11 45 0.1  1
11 46 0  1
11 46 0.01  1
11 46 0.02  1
11 46 0.03  1
11 46 0.04  1
11 46 0.05  1
11 46 0.06  1
11 46 0.07  1
11 46 0.08  1
11 46 0.09  1
11 46 0.1  1
11 47 0  1
11 47 0.01  1
11 47 0.02  1
11 47 0.03  1
11 47 0.04  1
11 47 0.05  1
11 47 0.06  1
11 47 0.07  1
11 47 0.08  1
11 47 0.09  1
11 47 0.1  1
11 48 0  1
11 48 0.01  1
11 48 0.02  1
11 48 0.03  1
11 48 0.04  1
11 48 0.05  1
11 48 0.06  1
11 48 0.07  1
11 48 0.08  1
11 48 0.09  1
11 48 0.1  1
11 49 0  1
11 49 0.01  1
11 49 0.02  1
11 49 0.03  1
11 49 0.04  1
11 49 0.05  1
11 49 0.06  1
11 49 0.07  1
11 49 0.08  1
11 49 0.09  1
11 49 0.1  1
11 50 0  1
11 50 0.01  1
11 50 0.02  1
11 50 0.03  1
11 50 0.04  1
11 50 0.05  1
11 50 0.06  1
11 50 0.07  1
11 50 0.08  1
11 50 0.09  1
11 50 0.1  1
16 0 0  0
16 0 0.01  0
16 0 0.02  0
16 0 0.03  0
16 0 0.04  0
16 0 0.05  0
16 0 0.06  0
16 0 0.07  0
16 0 0.08  0
16 0 0.09  0
16 0 0.1  0
16 1 0  1
16 1 0.01  1
16 1 0.02  1
16 1 0.03  1
16 1 0.04  1
16 1 0.05  1
16 1 0.06  1
16 1 0.07  1
16 1 0.08  1
16 1 0.09  1
16 1 0.1  1
16 2 0  1
16 2 0.01  1
16 2 0.02  1
16 2 0.03  1
16 2 0.04  1
16 2 0.05  1
16 2 0.06  1
16 2 0.07  1
16 2 0.08  1
16 2 0.09  1
16 2 0.1  1
16 3 0  1
16 3 0.01  1
16 3 0.02  1
16 3 0.03  1
16 3 0.04  1
16 3 0.05  1
16 3 0.06  1
16 3 0.07  1
16 3 0.08  1
16 3 0.09  1
16 3 0.1  1
16 4 0  1
16 4 0.01  1
16 4 0.02  1
16 4 0.03  1
16 4 0.04  1
16 4 0.05  1
16 4 0.06  1
16 4 0.07  1
16 4 0.08  1
16 4 0.09  1
16 4 0.1  1
16 5 0  1
16 5 0.01  1
16 5 0.02  1
16 5 0.03  1
16 5 0.04  1
16 5 0.05  1
16 5 0.06  1
16 5 0.07  1
16 5 0.08  1
16 5 0.09  1
16 5 0.1  1
16 6 0  1
16 6 0.01  1
16 6 0.02  1
16 6 0.03  1
16 6 0.04  1
16 6 0.05  1
16 6 0.06  1
16 6 0.07  1
16 6 0.08  1
16 6 0.09  1
16 6 0.1  1
16 7 0  1
16 7 0.01  1
16 7 0.02  1
16 7 0.03  1
16 7 0.04  1
16 7 0.05  1
16 7 0.06  1
16 7 0.07  1
16 7 0.08  1
16 7 0.09  1
16 7 0.1  1
16 8 0  1
16 8 0.01  1
16 8 0.02  1
16 8 0.03  1
16 8 0.04  1
16 8 0.05  1
16 8 0.06  1
16 8 0.07  1
16 8 0.08  1
16 8 0.09  1
16 8 0.1  1
16 9 0  1
16 9 0.01  1
16 9 0.02  1
16 9 0.03  1
16 9 0.04  1
16 9 0.05  1
16 9 0.06  1
16 9 0.07  1
16 9 0.08  1
16 9 0.09  1
16 9 0.1  1
16 10 0  1
16 10 0.01  1
16 10 0.02  1
16 10 0.03  1
16 10 0.04  1
16 10 0.05  1
16 10 0.06  1
16 10 0.07  1
16 10 0.08  1
16 10 0.09  1
16 10 0.1  1
16 11 0  1
16 11 0.01  1
16 11 0.02  1
16 11 0.03  1
16 11 0.04  1
16 11 0.05  1
16 11 0.06  1
16 11 0.07  1
16 11 0.08  1
16 11 0.09  1
16 11 0.1  1
16 12 0  1
16 12 0.01  1
16 12 0.02  1
16 12 0.03  1
16 12 0.04  1
16 12 0.05  1
16 12 0.06  1
16 12 0.07  1
16 12 0.08  1
16 12 0.09  1
16 12 0.1  1
16 13 0  1
16 13 0.01  1
16 13 0.02  1
16 13 0.03  1
16 13 0.04  1
16 13 0.05  1
16 13 0.06  1
16 13 0.07  1
16 13 0.08  1
16 13 0.09  1
16 13 0.1  1
16 14 0  1
16 14 0.01  1
16 14 0.02  1
16 14 0.03  1
16 14 0.04  1
16 14 0.05  1
16 14 0.06  1
16 14 0.07  1
16 14 0.08  1
16 14 0.09  1
16 14 0.1  1
16 15 0  1
16 15 0.01  1
16 15 0.02  1
16 15 0.03  1
16 15 0.04  1
16 15 0.05  1
16 15 0.06  1
16 15 0.07  1
16 15 0.08  1
16 15 0.09  1
16 15 0.1  1
16 16 0  1
16 16 0.01  1
16 16 0.02  1
16 16 0.03  1
16 16 0.04  1
16 16 0.05  1
16 16 0.06  1
16 16 0.07  1
16 16 0.08  1
16 16 0.09  1
16 16 0.1  1
16 17 0  1
16 17 0.01  1
16 17 0.02  1
16 17 0.03  1
16 17 0.04  1
16 17 0.05  1
16 17 0.06  1
16 17 0.07  1
16 17 0.08  1
16 17 0.09  1
16 17 0.1  1
16 18 0  1
16 18 0.01  1
16 18 0.02  1
16 18 0.03  1
16 18 0.04  1
16 18 0.05  1
16 18 0.06  1
16 18 0.07  1
16 18 0.08  1
16 18 0.09  1
16 18 0.1  1
16 19 0  1
16 19 0.01  1
16 19 0.02  1
16 19 0.03  1
16 19 0.04  1
16 19 0.05  1
16 19 0.06  1
16 19 0.07  1
16 19 0.08  1
16 19 0.09  1
16 19 0.1  1
16 20 0  1
16 20 0.01  1
16 20 0.02  1
16 20 0.03  1
16 20 0.04  1
16 20 0.05  1
16 20 0.06  1
16 20 0.07  1
16 20 0.08  1
16 20 0.09  1
16 20 0.1  1
16 21 0  1
16 21 0.01  1
16 21 0.02  1
16 21 0.03  1
16 21 0.04  1
16 21 0.05  1
16 21 0.06  1
16 21 0.07  1
16 21 0.08  1
16 21 0.09  1
16 21 0.1  1
16 22 0  1
16 22 0.01  1
16 22 0.02  1
16 22 0.03  1
16 22 0.04  1
16 22 0.05  1
16 22 0.06  1
16 22 0.07  1
16 22 0.08  1
16 22 0.09  1
16 22 0.1  1
16 23 0  1
16 23 0.01  1
16 23 0.02  1
16 23 0.03  1
16 23 0.04  1
16 23 0.05  1
16 23 0.06  1
16 23 0.07  1
16 23 0.08  1
16 23 0.09  1
16 23 0.1  1
16 24 0  1
16 24 0.01  1
16 24 0.02  1
16 24 0.03  1
16 24 0.04  1
16 24 0.05  1
16 24 0.06  1
16 24 0.07  1
16 24 0.08  1
16 24 0.09  1
16 24 0.1  1
16 25 0  1
16 25 0.01  1
16 25 0.02  1
16 25 0.03  1
16 25 0.04  1
16 25 0.05  1
16 25 0.06  1
16 25 0.07  1
16 25 0.08  1
16 25 0.09  1
16 25 0.1  1
16 26 0  1
16 26 0.01  1
16 26 0.02  1
16 26 0.03  1
16 26 0.04  1
16 26 0.05  1
16 26 0.06  1
16 26 0.07  1
16 26 0.08  1
16 26 0.09  1
16 26 0.1  1
16 27 0  1
16 27 0.01  1
16 27 0.02  1
16 27 0.03  1
16 27 0.04  1
16 27 0.05  1
16 27 0.06  1
16 27 0.07  1
16 27 0.08  1
16 27 0.09  1
16 27 0.1  1
16 28 0  1
16 28 0.01  1
16 28 0.02  1
16 28 0.03  1
16 28 0.04  1
16 28 0.05  1
16 28 0.06  1
16 28 0.07  1
16 28 0.08  1
16 28 0.09  1
16 28 0.1  1
16 29 0  1
16 29 0.01  1
16 29 0.02  1
16 29 0.03  1
16 29 0.04  1
16 29 0.05  1
16 29 0.06  1
16 29 0.07  1
16 29 0.08  1
16 29 0.09  1
16 29 0.1  1
16 30 0  1
16 30 0.01  1
16 30 0.02  1
16 30 0.03  1
16 30 0.04  1
16 30 0.05  1
16 30 0.06  1
16 30 0.07  1
16 30 0.08  1
16 30 0.09  1
16 30 0.1  1
16 31 0  1
16 31 0.01  1
16 31 0.02  1
16 31 0.03  1
16 31 0.04  1
16 31 0.05  1
16 31 0.06  1
16 31 0.07  1
16 31 0.08  1
16 31 0.09  1
16 31 0.1  1
16 32 0  1
16 32 0.01  1
16 32 0.02  1
16 32 0.03  1
16 32 0.04  1
16 32 0.05  1
16 32 0.06  1
16 32 0.07  1
16 32 0.08  1
16 32 0.09  1
16 32 0.1  1
16 33 0  1
16 33 0.01  1
16 33 0.02  1
16 33 0.03  1
16 33 0.04  1
16 33 0.05  1
16 33 0.06  1
16 33 0.07  1
16 33 0.08  1
16 33 0.09  1
16 33 0.1  1
16 34 0  1
16 34 0.01  1
16 34 0.02  1
16 34 0.03  1
16 34 0.04  1
16 34 0.05  1
16 34 0.06  1
16 34 0.07  1
16 34 0.08  1
16 34 0.09  1
16 34 0.1  1
16 35 0  1
16 35 0.01  1
16 35 0.02  1
16 35 0.03  1
16 35 0.04  1
16 35 0.05  1
16 35 0.06  1
16 35 0.07  1
16 35 0.08  1
16 35 0.09  1
16 35 0.1  1
16 36 0  1
16 36 0.01  1
16 36 0.02  1
16 36 0.03  1
16 36 0.04  1
16 36 0.05  1
16 36 0.06  1
16 36 0.07  1
16 36 0.08  1
16 36 0.09  1
16 36 0.1  1
16 37 0  1
16 37 0.01  1
16 37 0.02  1
16 37 0.03  1
16 37 0.04  1
16 37 0.05  1
16 37 0.06  1
16 37 0.07  1
16 37 0.08  1
16 37 0.09  1
16 37 0.1  1
16 38 0  1
16 38 0.01  1
16 38 0.02  1
16 38 0.03  1
16 38 0.04  1
16 38 0.05  1
16 38 0.06  1
16 38 0.07  1
16 38 0.08  1
16 38 0.09  1
16 38 0.1  1
16 39 0  1
16 39 0.01  1
16 39 0.02  1
16 39 0.03  1
16 39 0.04  1
16 39 0.05  1
16 39 0.06  1
16 39 0.07  1
16 39 0.08  1
16 39 0.09  1
16 39 0.1  1
16 40 0  1
16 40 0.01  1
16 40 0.02  1
16 40 0.03  1
16 40 0.04  1
16 40 0.05  1
16 40 0.06  1
16 40 0.07  1
16 40 0.08  1
16 40 0.09  1
16 40 0.1  1
16 41 0  1
16 41 0.01  1
16 41 0.02  1
16 41 0.03  1
16 41 0.04  1
16 41 0.05  1
16 41 0.06  1
16 41 0.07  1
16 41 0.08  1
16 41 0.09  1
16 41 0.1  1
16 42 0  1
16 42 0.01  1
16 42 0.02  1
16 42 0.03  1
16 42 0.04  1
16 42 0.05  1
16 42 0.06  1
16 42 0.07  1
16 42 0.08  1
16 42 0.09  1
16 42 0.1  1
16 43 0  1
16 43 0.01  1
16 43 0.02  1
16 43 0.03  1
16 43 0.04  1
16 43 0.05  1
16 43 0.06  1
16 43 0.07  1
16 43 0.08  1
16 43 0.09  1
16 43 0.1  1
16 44 0  1
16 44 0.01  1
16 44 0.02  1
16 44 0.03  1
16 44 0.04  1
16 44 0.05  1
16 44 0.06  1
16 44 0.07  1
16 44 0.08  1
16 44 0.09  1
16 44 0.1  1
16 45 0  1
16 45 0.01  1
16 45 0.02  1
16 45 0.03  1
16 45 0.04  1
16 45 0.05  1
16 45 0.06  1
16 45 0.07  1
16 45 0.08  1
16 45 0.09  1
16 45 0.1  1
16 46 0  1
16 46 0.01  1
16 46 0.02  1
16 46 0.03  1
16 46 0.04  1
16 46 0.05  1
16 46 0.06  1
16 46 0.07  1
16 46 0.08  1
16 46 0.09  1
16 46 0.1  1
16 47 0  1
16 47 0.01  1
16 47 0.02  1
16 47 0.03  1
16 47 0.04  1
16 47 0.05  1
16 47 0.06  1
16 47 0.07  1
16 47 0.08  1
16 47 0.09  1
16 47 0.1  1
16 48 0  1
16 48 0.01  1
16 48 0.02  1
16 48 0.03  1
16 48 0.04  1
16 48 0.05  1
16 48 0.06  1
16 48 0.07  1
16 48 0.08  1
16 48 0.09  1
16 48 0.1  1
16 49 0  1
16 49 0.01  1
16 49 0.02  1
16 49 0.03  1
16 49 0.04  1
16 49 0.05  1
16 49 0.06  1
16 49 0.07  1
16 49 0.08  1
16 49 0.09  1
16 49 0.1  1
16 50 0  1
16 50 0.01  1
16 50 0.02  1
16 50 0.03  1
16 50 0.04  1
16 50 0.05  1
16 50 0.06  1
16 50 0.07  1
16 50 0.08  1
16 50 0.09  1
16 50 0.1  1
21 0 0  0
21 0 0.01  0
21 0 0.02  0
21 0 0.03  0
21 0 0.04  0
21 0 0.05  0
21 0 0.06  0
21 0 0.07  0
21 0 0.08  0
21 0 0.09  0
21 0 0.1  0
21 1 0  1
21 1 0.01  1
21 1 0.02  1
21 1 0.03  1
21 1 0.04  1
21 1 0.05  1
21 1 0.06  1
21 1 0.07  1
21 1 0.08  1
21 1 0.09  1
21 1 0.1  1
21 2 0  1
21 2 0.01  1
21 2 0.02  1
21 2 0.03  1
21 2 0.04  1
21 2 0.05  1
21 2 0.06  1
21 2 0.07  1
21 2 0.08  1
21 2 0.09  1
21 2 0.1  1
21 3 0  1
21 3 0.01  1
21 3 0.02  1
21 3 0.03  1
21 3 0.04  1
21 3 0.05  1
21 3 0.06  1
21 3 0.07  1
21 3 0.08  1
21 3 0.09  1
21 3 0.1  1
21 4 0  1
21 4 0.01  1
21 4 0.02  1
21 4 0.03  1
21 4 0.04  1
21 4 0.05  1
21 4 0.06  1
21 4 0.07  1
21 4 0.08  1
21 4 0.09  1
21 4 0.1  1
21 5 0  1
21 5 0.01  1
21 5 0.02  1
21 5 0.03  1
21 5 0.04  1
21 5 0.05  1
21 5 0.06  1
21 5 0.07  1
21 5 0.08  1
21 5 0.09  1
21 5 0.1  1
21 6 0  1
21 6 0.01  1
21 6 0.02  1
21 6 0.03  1
21 6 0.04  1
21 6 0.05  1
21 6 0.06  1
21 6 0.07  1
21 6 0.08  1
21 6 0.09  1
21 6 0.1  1
21 7 0  1
21 7 0.01  1
21 7 0.02  1
21 7 0.03  1
21 7 0.04  1
21 7 0.05  1
21 7 0.06  1
21 7 0.07  1
21 7 0.08  1
21 7 0.09  1
21 7 0.1  1
21 8 0  1
21 8 0.01  1
21 8 0.02  1
21 8 0.03  1
21 8 0.04  1
21 8 0.05  1
21 8 0.06  1
21 8 0.07  1
21 8 0.08  1
21 8 0.09  1
21 8 0.1  1
21 9 0  1
21 9 0.01  1
21 9 0.02  1
21 9 0.03  1
21 9 0.04  1
21 9 0.05  1
21 9 0.06  1
21 9 0.07  1
21 9 0.08  1
21 9 0.09  1
21 9 0.1  1
21 10 0  1
21 10 0.01  1
21 10 0.02  1
21 10 0.03  1
21 10 0.04  1
21 10 0.05  1
21 10 0.06  1
21 10 0.07  1
21 10 0.08  1
21 10 0.09  1
21 10 0.1  1
21 11 0  1
21 11 0.01  1
21 11 0.02  1
21 11 0.03  1
21 11 0.04  1
21 11 0.05  1
21 11 0.06  1
21 11 0.07  1
21 11 0.08  1
21 11 0.09  1
21 11 0.1  1
21 12 0  1
21 12 0.01  1
21 12 0.02  1
21 12 0.03  1
21 12 0.04  1
21 12 0.05  1
21 12 0.06  1
21 12 0.07  1
21 12 0.08  1
21 12 0.09  1
21 12 0.1  1
21 13 0  1
21 13 0.01  1
21 13 0.02  1
21 13 0.03  1
21 13 0.04  1
21 13 0.05  1
21 13 0.06  1
21 13 0.07  1
21 13 0.08  1
21 13 0.09  1
21 13 0.1  1
21 14 0  1
21 14 0.01  1
21 14 0.02  1
21 14 0.03  1
21 14 0.04  1
21 14 0.05  1
21 14 0.06  1
21 14 0.07  1
21 14 0.08  1
21 14 0.09  1
21 14 0.1  1
21 15 0  1
21 15 0.01  1
21 15 0.02  1
21 15 0.03  1
21 15 0.04  1
21 15 0.05  1
21 15 0.06  1
21 15 0.07  1
21 15 0.08  1
21 15 0.09  1
21 15 0.1  1
21 16 0  1
21 16 0.01  1
21 16 0.02  1
21 16 0.03  1
21 16 0.04  1
21 16 0.05  1
21 16 0.06  1
21 16 0.07  1
21 16 0.08  1
21 16 0.09  1
21 16 0.1  1
21 17 0  1
21 17 0.01  1
21 17 0.02  1
21 17 0.03  1
21 17 0.04  1
21 17 0.05  1
21 17 0.06  1
21 17 0.07  1
21 17 0.08  1
21 17 0.09  1
21 17 0.1  1
21 18 0  1
21 18 0.01  1
21 18 0.02  1
21 18 0.03  1
21 18 0.04  1
21 18 0.05  1
21 18 0.06  1
21 18 0.07  1
21 18 0.08  1
21 18 0.09  1
21 18 0.1  1
21 19 0  1
21 19 0.01  1
21 19 0.02  1
21 19 0.03  1
21 19 0.04  1
21 19 0.05  1
21 19 0.06  1
21 19 0.07  1
21 19 0.08  1
21 19 0.09  1
21 19 0.1  1
21 20 0  1
21 20 0.01  1
21 20 0.02  1
21 20 0.03  1
21 20 0.04  1
21 20 0.05  1
21 20 0.06  1
21 20 0.07  1
21 20 0.08  1
21 20 0.09  1
21 20 0.1  1
21 21 0  1
21 21 0.01  1
21 21 0.02  1
21 21 0.03  1
21 21 0.04  1
21 21 0.05  1
21 21 0.06  1
21 21 0.07  1
21 21 0.08  1
21 21 0.09  1
21 21 0.1  1
21 22 0  1
21 22 0.01  1
21 22 0.02  1
21 22 0.03  1
21 22 0.04  1
21 22 0.05  1
21 22 0.06  1
21 22 0.07  1
21 22 0.08  1
21 22 0.09  1
21 22 0.1  1
21 23 0  1
21 23 0.01  1
21 23 0.02  1
21 23 0.03  1
21 23 0.04  1
21 23 0.05  1
21 23 0.06  1
21 23 0.07  1
21 23 0.08  1
21 23 0.09  1
21 23 0.1  1
21 24 0  1
21 24 0.01  1
21 24 0.02  1
21 24 0.03  1
21 24 0.04  1
21 24 0.05  1
21 24 0.06  1
21 24 0.07  1
21 24 0.08  1
21 24 0.09  1
21 24 0.1  1
21 25 0  1
21 25 0.01  1
21 25 0.02  1
21 25 0.03  1
21 25 0.04  1
21 25 0.05  1
21 25 0.06  1
21 25 0.07  1
21 25 0.08  1
21 25 0.09  1
21 25 0.1  1
21 26 0  1
21 26 0.01  1
21 26 0.02  1
21 26 0.03  1
21 26 0.04  1
21 26 0.05  1
21 26 0.06  1
21 26 0.07  1
21 26 0.08  1
21 26 0.09  1
21 26 0.1  1
21 27 0  1
21 27 0.01  1
21 27 0.02  1
21 27 0.03  1
21 27 0.04  1
21 27 0.05  1
21 27 0.06  1
21 27 0.07  1
21 27 0.08  1
21 27 0.09  1
21 27 0.1  1
21 28 0  1
21 28 0.01  1
21 28 0.02  1
21 28 0.03  1
21 28 0.04  1
21 28 0.05  1
21 28 0.06  1
21 28 0.07  1
21 28 0.08  1
21 28 0.09  1
21 28 0.1  1
21 29 0  1
21 29 0.01  1
21 29 0.02  1
21 29 0.03  1
21 29 0.04  1
21 29 0.05  1
21 29 0.06  1
21 29 0.07  1
21 29 0.08  1
21 29 0.09  1
21 29 0.1  1
21 30 0  1
21 30 0.01  1
21 30 0.02  1
21 30 0.03  1
21 30 0.04  1
21 30 0.05  1
21 30 0.06  1
21 30 0.07  1
21 30 0.08  1
21 30 0.09  1
21 30 0.1  1
21 31 0  1
21 31 0.01  1
21 31 0.02  1
21 31 0.03  1
21 31 0.04  1
21 31 0.05  1
21 31 0.06  1
21 31 0.07  1
21 31 0.08  1
21 31 0.09  1
21 31 0.1  1
21 32 0  1
21 32 0.01  1
21 32 0.02  1
21 32 0.03  1
21 32 0.04  1
21 32 0.05  1
21 32 0.06  1
21 32 0.07  1
21 32 0.08  1
21 32 0.09  1
21 32 0.1  1
21 33 0  1
21 33 0.01  1
21 33 0.02  1
21 33 0.03  1
21 33 0.04  1
21 33 0.05  1
21 33 0.06  1
21 33 0.07  1
21 33 0.08  1
21 33 0.09  1
21 33 0.1  1
21 34 0  1
21 34 0.01  1
21 34 0.02  1
21 34 0.03  1
21 34 0.04  1
21 34 0.05  1
21 34 0.06  1
21 34 0.07  1
21 34 0.08  1
21 34 0.09  1
21 34 0.1  1
21 35 0  1
21 35 0.01  1
21 35 0.02  1
21 35 0.03  1
21 35 0.04  1
21 35 0.05  1
21 35 0.06  1
21 35 0.07  1
21 35 0.08  1
21 35 0.09  1
21 35 0.1  1
21 36 0  1
21 36 0.01  1
21 36 0.02  1
21 36 0.03  1
21 36 0.04  1
21 36 0.05  1
21 36 0.06  1
21 36 0.07  1
21 36 0.08  1
21 36 0.09  1
21 36 0.1  1
21 37 0  1
21 37 0.01  1
21 37 0.02  1
21 37 0.03  1
21 37 0.04  1
21 37 0.05  1
21 37 0.06  1
21 37 0.07  1
21 37 0.08  1
21 37 0.09  1
21 37 0.1  1
21 38 0  1
21 38 0.01  1
21 38 0.02  1
21 38 0.03  1
21 38 0.04  1
21 38 0.05  1
21 38 0.06  1
21 38 0.07  1
21 38 0.08  1
21 38 0.09  1
21 38 0.1  1
21 39 0  1
21 39 0.01  1
21 39 0.02  1
21 39 0.03  1
21 39 0.04  1
21 39 0.05  1
21 39 0.06  1
21 39 0.07  1
21 39 0.08  1
21 39 0.09  1
21 39 0.1  1
21 40 0  1
21 40 0.01  1
21 40 0.02  1
21 40 0.03  1
21 40 0.04  1
21 40 0.05  1
21 40 0.06  1
21 40 0.07  1
21 40 0.08  1
21 40 0.09  1
21 40 0.1  1
21 41 0  1
21 41 0.01  1
21 41 0.02  1
21 41 0.03  1
21 41 0.04  1
21 41 0.05  1
21 41 0.06  1
21 41 0.07  1
21 41 0.08  1
21 41 0.09  1
21 41 0.1  1
21 42 0  1
21 42 0.01  1
21 42 0.02  1
21 42 0.03  1
21 42 0.04  1
21 42 0.05  1
21 42 0.06  1
21 42 0.07  1
21 42 0.08  1
21 42 0.09  1
21 42 0.1  1
21 43 0  1
21 43 0.01  1
21 43 0.02  1
21 43 0.03  1
21 43 0.04  1
21 43 0.05  1
21 43 0.06  1
21 43 0.07  1
21 43 0.08  1
21 43 0.09  1
21 43 0.1  1
21 44 0  1
21 44 0.01  1
21 44 0.02  1
21 44 0.03  1
21 44 0.04  1
21 44 0.05  1
21 44 0.06  1
21 44 0.07  1
21 44 0.08  1
21 44 0.09  1
21 44 0.1  1
21 45 0  1
21 45 0.01  1
21 45 0.02  1
21 45 0.03  1
21 45 0.04  1
21 45 0.05  1
21 45 0.06  1
21 45 0.07  1
21 45 0.08  1
21 45 0.09  1
21 45 0.1  1
21 46 0  1
21 46 0.01  1
21 46 0.02  1
21 46 0.03  1
21 46 0.04  1
21 46 0.05  1
21 46 0.06  1
21 46 0.07  1
21 46 0.08  1
21 46 0.09  1
21 46 0.1  1
21 47 0  1
21 47 0.01  1
21 47 0.02  1
21 47 0.03  1
21 47 0.04  1
21 47 0.05  1
21 47 0.06  1
21 47 0.07  1
21 47 0.08  1
21 47 0.09  1
21 47 0.1  1
21 48 0  1
21 48 0.01  1
21 48 0.02  1
21 48 0.03  1
21 48 0.04  1
21 48 0.05  1
21 48 0.06  1
21 48 0.07  1
21 48 0.08  1
21 48 0.09  1
21 48 0.1  1
21 49 0  1
21 49 0.01  1
21 49 0.02  1
21 49 0.03  1
21 49 0.04  1
21 49 0.05  1
21 49 0.06  1
21 49 0.07  1
21 49 0.08  1
21 49 0.09  1
21 49 0.1  1
21 50 0  1
21 50 0.01  1
21 50 0.02  1
21 50 0.03  1
21 50 0.04  1
21 50 0.05  1
21 50 0.06  1
21 50 0.07  1
21 50 0.08  1
21 50 0.09  1
21 50 0.1  1
26 0 0  0
26 0 0.01  0
26 0 0.02  0
26 0 0.03  0
26 0 0.04  0
26 0 0.05  0
26 0 0.06  0
26 0 0.07  0
26 0 0.08  0
26 0 0.09  0
26 0 0.1  0
26 1 0  1
26 1 0.01  1
26 1 0.02  1
26 1 0.03  1
26 1 0.04  1
26 1 0.05  1
26 1 0.06  1
26 1 0.07  1
26 1 0.08  1
26 1 0.09  1
26 1 0.1  1
26 2 0  1
26 2 0.01  1
26 2 0.02  1
26 2 0.03  1
26 2 0.04  1
26 2 0.05  1
26 2 0.06  1
26 2 0.07  1
26 2 0.08  1
26 2 0.09  1
26 2 0.1  1
26 3 0  1
26 3 0.01  1
26 3 0.02  1
26 3 0.03  1
26 3 0.04  1
